Publication_date,Source,Scraped_category,Title,Summary,Article_Url
2024-08-12,BBC,news,Landslide at Uganda rubbish dump kills 21,Rescuers are continuing to dig through the waste in the hope of finding more survivors.,https://www.bbc.com/news/articles/cly8k506ygzo
2024-08-11,BBC,news,Rwandan president sworn in after 99% election win,Rights groups say the margin of Paul Kagame's victory is proof of the lack of democracy in Rwanda.,https://www.bbc.com/news/articles/cd05erlzxy3o
2024-08-11,BBC,news,First deaf Miss South Africa crowned after divisive competition,Mia le Roux says she hopes to inspire those who feel excluded from South African society.,https://www.bbc.com/news/articles/c1l5nrge372o
2024-08-09,BBC,news,Nigeria's Olympic cyclist thanks German team for bike loan,"Nigeria's sports minister says the situation was unavoidable, but many in the country are not convinced.",https://www.bbc.com/news/articles/c23l8125y27o
2024-08-09,BBC,news,UK terror suspect deported from Kenya after jail stint,"Jermaine Grant is linked to notorious British fugitive Samantha Lewthwaite, known as the ""White Widow"".",https://www.bbc.com/news/articles/cx2n4g1w65do
2024-09-11,BBC,news,Thousands flee Vietnam floods after typhoon hits,One of the country's largest rivers reached its highest level in two decades on Wednesday.,https://www.bbc.com/news/articles/c5yk131xd4lo
2024-09-11,BBC,news,'Fish diplomacy' setback for India and Bangladesh,"Bangladesh has intensified its crackdown on hilsa supplies to India, enforcing a long-standing ban.",https://www.bbc.com/news/articles/c2l15j4dq9po
2024-09-10,BBC,news,The midwives who stopped murdering girls and started saving them,"In rural India, a group of midwives routinely murdered newborn girls - and then began to resist, a BBC Eye investigation has found.",https://www.bbc.com/news/articles/cvge858dvl5o
2024-09-10,BBC,clip news,BBC meets women suffering under Taliban s new law,The BBC hears from women who have seen their rights crushed since the Taliban took control of Afghanistan.,https://www.bbc.com/news/videos/ckgwk3lvkk6o
2024-09-10,BBC,clip news,Taliban defends new law that curbs women's freedoms,A Taliban government spokesman says the edict is in accordance with Islamic Sharia law.,https://www.bbc.com/news/videos/c4gdnwp5leyo
2024-09-10,BBC,news,More than 127 dead in Vietnam super typhoon,The most powerful storm to hit the country in 30 years has also left thousands stranded.,https://www.bbc.com/news/articles/cql3qvg3vk9o
2024-09-10,BBC,news,UK sells peaches from Fukushima nuclear disaster region,Harrods' sale of the fruit is part of efforts to restore trust after the 2011 radiation leak.,https://www.bbc.com/news/articles/c628pm6r5jjo
2024-09-10,BBC,news,"'If we can't speak, why live?' - BBC meets women after new Taliban law","The new law, banning women from raising their voice in public, is the latest crushing women's rights.",https://www.bbc.com/news/articles/cgedlz5wx88o
2024-09-10,BBC,news,"Pope's mass in Timor-Leste draws 600,000 worshippers",Homes were recently demolished and families displaced in the area where the congregation is being held.,https://www.bbc.com/news/articles/c624p4y5e38o
2024-09-10,BBC,news,Row over aircons in classrooms as China swelters,Parents' calls to install air conditioners in classrooms spark a debate online.,https://www.bbc.com/news/articles/ce9zlkz0ypyo
2024-09-10,BBC,news,Cars plunge into river as super typhoon destroys Vietnam bridge,"Typhoon Yagi, the most powerful to hit Asia this year, kills 60 and destroys homes across north of country.",https://www.bbc.com/news/articles/cqxjn3w9228o
2024-09-09,BBC,news,Afghan embassy in London to shut after Taliban sacks staff,The UK government said the embassy would shut following the dismissal of its staff by the Taliban.,https://www.bbc.com/news/articles/c70jp1yy7wjo
2024-09-09,BBC,news,Pope calls on Timor-Leste to protect young from abuse,The Pope made the call as an abuse scandal involving one of the clergy hangs over his visit.,https://www.bbc.com/news/articles/c0490d71ww0o
2024-09-09,BBC,clip news,Inside Afghanistan hospital where babies are dying of starvation,"The BBC reports from inside Jalalabad hospital in Afghanistan, as malnutrition is ravages the country.",https://www.bbc.com/news/videos/c87gz4xl049o
2024-09-09,BBC,news,Allegations mount against India market regulator,The head of India s market regulator denies any conflict of interest in her activities.,https://www.bbc.com/news/articles/cly3kvzp317o
2024-09-09,BBC,news,The hospital struggling to save its starving babies,"Acute malnutrition, which has ravaged Afghanistan for decades, has reached an unprecedented level.",https://www.bbc.com/news/articles/cj35611ngyro
2024-09-09,BBC,news,Fugitive pastor wanted by FBI caught in Philippines,Apollo Quiboloy is charged with child sex trafficking in the US and in the Philippines.,https://www.bbc.com/news/articles/c75npd1xw9qo
2024-09-08,BBC,clip news,Pope Francis welcomed in remote Vanimo in Papua New Guinea,"In Vanimo, a town near the border with Indonesia, the Pope donned a traditional Bird of Paradise feathered headdress.",https://www.bbc.com/news/videos/crmwyzkeel2o
2024-09-08,BBC,news,"Typhoon Yagi kills 59, injures hundreds in Vietnam","It has been downgraded to a tropical depression, but authorities warn of more flooding and landslides.",https://www.bbc.com/news/articles/ce380vgeq1po
2024-09-07,BBC,news,Would you eat bugs if they tasted better?,"Insects are touted as an option for a healthier, greener diet. Is that enough reason for people to bite?",https://www.bbc.com/news/articles/cly9z6412q2o
2024-09-07,BBC,news,An 'argument over notebooks' led to murder at an Indian school - and set a city ablaze,"The killing of a Hindu boy, allegedly by his Muslim classmate, sparked religious tensions in an Indian city.",https://www.bbc.com/news/articles/cj35pxkp0eeo
2024-09-06,BBC,news,Strongest typhoon in a decade hits 'China's Hawaii',"About 400,000 in Hainan island evacuated to safe ground ahead of Yagi's arrival.",https://www.bbc.com/news/articles/c4gz3rk71n7o
2024-09-06,BBC,news,Fast fashion drove Bangladesh - now its troubled economy needs more,The once booming garment industry faces an uncertain future amid political unrest and slowing demand.,https://www.bbc.com/news/articles/cd6ye3e8x9po
2024-09-06,BBC,news,Uncertainty for families as China ends foreign adoptions,"Beijing has given little reason for the change, only saying it was line with international agreements.",https://www.bbc.com/news/articles/crmwrpe3m3do
2024-09-06,BBC,news,India's top wrestler joins opposition Congress party,Vinesh Phogat was recently in the news after she was disuqalified at the Paris Olympics.,https://www.bbc.com/news/articles/cgedvx153xyo
2024-09-06,BBC,news,7-Eleven owner rejects $38bn buyout offer,Japanese owner of convenience store giant says offer from Canadian rival  grossly undervalues  firm.,https://www.bbc.com/news/articles/cz9w74dwkgno
2024-09-06,BBC,news,Fury as Filipino officials pose with 'China spy mayor',Disgraced ex-mayor Alice Guo flashes a wide smile and the peace sign in photos with her escorts.,https://www.bbc.com/news/articles/cdxl8j8lyjzo
2024-09-06,BBC,news,Kim s Convenience a 'love letter' to immigrant parents,"The hit play's writer and star says the story will make people realise ""we're all dysfunctional"".",https://www.bbc.com/news/articles/cqxjpdqvv03o
