Publication_date,Source,Scraped_category,Title,Summary,news_raw,Article_Url
08-09-2024,BBC,Formula 1,£30m a year - why F1 designer is one of sport's highest-earning BritonsAttributionFormula 1Posted3 days ago3dComments849,£30m a year - why F1 designer is one of sport's highest-earning BritonsAttributionFormula 1Posted3 days ago3dComments849,£30m a year - why F1 designer is one of sport's highest-earning BritonsAttributionFormula 1Posted3 days ago3dComments849,https://www.bbc.com/sport/articles/czrxgll23w9o
09-09-2024,BBC,Formula 1,How to follow Azerbaijan Grand Prix on the BBCAttributionFormula 1Posted2 days ago2d,How to follow Azerbaijan Grand Prix on the BBCAttributionFormula 1Posted2 days ago2d,How to follow Azerbaijan Grand Prix on the BBCAttributionFormula 1Posted2 days ago2d,https://www.bbc.com/sport/formula1/articles/c5ylnede9ljo
07-09-2024,BBC,Formula 1,Newey commits to £30m-a-year Aston Martin dealAttributionFormula 1Posted4 days ago4d,Newey commits to £30m-a-year Aston Martin dealAttributionFormula 1Posted4 days ago4d,Newey commits to £30m-a-year Aston Martin dealAttributionFormula 1Posted4 days ago4d,https://www.bbc.com/sport/formula1/articles/c4gqd8lz9g1o
06-09-2024,BBC,Formula 1,Bearman to replace Magnussen at Haas in AzerbaijanAttributionFormula 1Posted5 days ago5d,Bearman to replace Magnussen at Haas in AzerbaijanAttributionFormula 1Posted5 days ago5d,Bearman to replace Magnussen at Haas in AzerbaijanAttributionFormula 1Posted5 days ago5d,https://www.bbc.com/sport/formula1/articles/c80en9mj4pdo
05-09-2024,BBC,Formula 1,Serra named Ferrari chassis technical directorAttributionFormula 1Posted6 days ago6d,Serra named Ferrari chassis technical directorAttributionFormula 1Posted6 days ago6d,Serra named Ferrari chassis technical directorAttributionFormula 1Posted6 days ago6d,https://www.bbc.com/sport/formula1/articles/cp8n73jpg0do
03-09-2024,BBC,Formula 1,Complaints about McLaren and Mercedes front wings rejected AttributionFormula 1Posted3 September3 Sep,Complaints about McLaren and Mercedes front wings rejected AttributionFormula 1Posted3 September3 Sep,Complaints about McLaren and Mercedes front wings rejected AttributionFormula 1Posted3 September3 Sep,https://www.bbc.com/sport/formula1/articles/c3w6y694406o
01-09-2024,BBC,Formula 1,McLaren consider team orders to aid Norris title bid,"McLaren are to consider imposing team orders to help Lando Norris overhaul Max Verstappen, who says his Red Bull is ""undriveable"".AttributionFormula 1Posted1 September1 SepComments886","McLaren consider team orders to aid Norris title bidMcLaren are to consider imposing team orders to help Lando Norris overhaul Max Verstappen, who says his Red Bull is ""undriveable"".AttributionFormula 1Posted1 September1 SepComments886",https://www.bbc.com/sport/formula1/articles/cvg3z3zxgq4o
01-09-2024,BBC,Formula 1,Leclerc beats Piastri and Norris for home Ferrari winAttributionFormula 1Posted1 September1 SepComments1295,Leclerc beats Piastri and Norris for home Ferrari winAttributionFormula 1Posted1 September1 SepComments1295,Leclerc beats Piastri and Norris for home Ferrari winAttributionFormula 1Posted1 September1 SepComments1295,https://www.bbc.com/sport/formula1/articles/c1l590r59l9o
01-09-2024,BBC,Formula 1,Audi sets 'more realistic' target for F1 teamAttributionFormula 1Posted1 September1 Sep,Audi sets 'more realistic' target for F1 teamAttributionFormula 1Posted1 September1 Sep,Audi sets 'more realistic' target for F1 teamAttributionFormula 1Posted1 September1 Sep,https://www.bbc.com/sport/formula1/articles/cze5xzpn931o
01-09-2024,BBC,Formula 1,Magnussen banned for exceeding penalty point limitAttributionFormula 1Posted1 September1 Sep,Magnussen banned for exceeding penalty point limitAttributionFormula 1Posted1 September1 Sep,Magnussen banned for exceeding penalty point limitAttributionFormula 1Posted1 September1 Sep,https://www.bbc.com/sport/formula1/articles/cn5r35v90nno
03-09-2024,BBC,Formula 1,F1 Q&A: Can Red Bull recover from loss in form?AttributionFormula 1Posted3 September3 Sep,F1 Q&A: Can Red Bull recover from loss in form?AttributionFormula 1Posted3 September3 Sep,F1 Q&A: Can Red Bull recover from loss in form?AttributionFormula 1Posted3 September3 Sep,https://www.bbc.com/sport/formula1/articles/cgl2dl536nzo
01-09-2024,BBC,Formula 1,Norris eyes 'opportunity' to close title gap on VerstappenAttributionFormula 1Posted1 September1 Sep,Norris eyes 'opportunity' to close title gap on VerstappenAttributionFormula 1Posted1 September1 Sep,Norris eyes 'opportunity' to close title gap on VerstappenAttributionFormula 1Posted1 September1 Sep,https://www.bbc.com/sport/formula1/articles/cr5n1r3plzdo
31-08-2024,BBC,Formula 1,Antonelli can do 'great things' as Hamilton's replacementAttributionFormula 1Posted31 August31 AugComments281,Antonelli can do 'great things' as Hamilton's replacementAttributionFormula 1Posted31 August31 AugComments281,Antonelli can do 'great things' as Hamilton's replacementAttributionFormula 1Posted31 August31 AugComments281,https://www.bbc.com/sport/formula1/articles/c4gvd336rzdo
31-08-2024,BBC,Formula 1,Norris on Italian GP pole with Verstappen seventh,"Lando Norris leads a McLaren one-two in Italian Grand Prix qualifying, with title rival Max Verstappen’s Red Bull in seventh.AttributionFormula 1Posted31 August31 AugComments1200","Norris on Italian GP pole with Verstappen seventhLando Norris leads a McLaren one-two in Italian Grand Prix qualifying, with title rival Max Verstappen’s Red Bull in seventh.AttributionFormula 1Posted31 August31 AugComments1200",https://www.bbc.com/sport/formula1/articles/c0l8e46e5l0o
29-08-2024,BBC,Formula 1,'I barely eat on Sundays' - title hopeful Norris on beating nervesAttributionFormula 1Posted29 August29 Aug,'I barely eat on Sundays' - title hopeful Norris on beating nervesAttributionFormula 1Posted29 August29 Aug,'I barely eat on Sundays' - title hopeful Norris on beating nervesAttributionFormula 1Posted29 August29 Aug,https://www.bbc.com/sport/formula1/articles/clyg19kng1po
29-08-2024,BBC,Formula 1,Mercedes and Verstappen 'keep open communication' over future move - WolffAttributionFormula 1Posted29 August29 Aug,Mercedes and Verstappen 'keep open communication' over future move - WolffAttributionFormula 1Posted29 August29 Aug,Mercedes and Verstappen 'keep open communication' over future move - WolffAttributionFormula 1Posted29 August29 Aug,https://www.bbc.com/sport/formula1/articles/clylz1e7yx8o
29-08-2024,BBC,Formula 1,Renault staff to strike at plans to end F1 engine programmeAttributionFormula 1Posted29 August29 Aug,Renault staff to strike at plans to end F1 engine programmeAttributionFormula 1Posted29 August29 Aug,Renault staff to strike at plans to end F1 engine programmeAttributionFormula 1Posted29 August29 Aug,https://www.bbc.com/sport/formula1/articles/cly3gnp5nvpo
